"User ID","Teacher Name","TE Module Name","Mode - TE or Preview","Sessions Launched","First Launch","Last Launch","Activities Used","Total Duration for Module",QW-Correct:Tabs,QW-Correct:Toggled,"QW-Correct:Once Toggled","QW-Correct:% Once Toggled",QW-Distractors:Tabs,QW-Distractors:Toggled,"QW-Distractors:Once Toggled","QW-Distractors:% Once Toggled",QW-Tip:Tabs,QW-Tip:Toggled,"QW-Tip:Once Toggled","QW-Tip:% Once Toggled",QW-Exemplar:Tabs,QW-Exemplar:Toggled,"QW-Exemplar:Once Toggled","QW-Exemplar:% Once Toggled",WS-Tip:Tabs,WS-Tip:Toggled,"WS-Tip:Once Toggled","WS-Tip:% Once Toggled",WS-Theory:Tabs,WS-Theory:Toggled,"WS-Theory:Once Toggled","WS-Theory:% Once Toggled",WS-Discussion:Tabs,WS-Discussion:Toggled,"WS-Discussion:Once Toggled","WS-Discussion:% Once Toggled",WS-Deeper:Tabs,WS-Deeper:Toggled,"WS-Deeper:Once Toggled","WS-Deeper:% Once Toggled",ST:Tabs,ST:Toggled,"ST:Once Toggled","ST:% Once Toggled"
653,"Fred Flintstone","Staging: What will Earth look like in 500 million years?","Teacher Edition",2,"Tue Jun 11 2019 20:41:12 GMT-0400 (EDT)","Tue Jun 11 2019 20:41:12 GMT-0400 (EDT)",5,1:13:58:54,40,0,40,"100.00",34,0,34,"100.00",40,0,40,"100.00",78,0,78,"100.00",6,0,6,"100.00",21,0,21,"100.00",9,0,9,"100.00",3,0,3,"100.00",0,"","",""
653,"Fred Flintstone","Staging: What will Earth look like in 500 million years?",Preview,1,"Tue Jun 11 2019 20:39:03 GMT-0400 (EDT)","",5,0:0:5:51
111,Anonymous,"Staging: What will Earth look like in 500 million years?","Teacher Edition",2,"Wed Jun 12 2019 10:14:14 GMT-0400 (EDT)","Wed Jun 12 2019 10:14:14 GMT-0400 (EDT)",5,0:1:24:53,40,0,40,"100.00",34,0,34,"100.00",40,0,40,"100.00",78,0,78,"100.00",6,6,6,"100.00",21,0,21,"100.00",9,0,9,"100.00",3,0,3,"100.00",0,"","",""
272,"Scott Teacher","Staging: What will Earth look like in 500 million years?","Teacher Edition",3,"Thu Jun 13 2019 10:28:58 GMT-0400 (EDT)","Thu Jun 13 2019 10:28:58 GMT-0400 (EDT)",5,0:2:16:4,40,0,40,"100.00",34,0,34,"100.00",40,0,40,"100.00",78,0,78,"100.00",6,47,6,"100.00",21,0,21,"100.00",9,0,9,"100.00",3,0,3,"100.00",0,"","",""
272,"Scott Teacher","Staging: What will Earth look like in 500 million years?",Preview,1,"Thu Jun 13 2019 12:54:25 GMT-0400 (EDT)","",5,0:0:2:48
